,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,204.89100,顶端弹幕,25,0xfe0302,0,79ce14eb,44852296262090759,《 黑 天 鹅 事 件 》
2,87.27000,顶端弹幕,25,0xe70012,0,d7f21561,44660705669414919,《撕 破 脸》
3,54.10400,顶端弹幕,25,0xffd302,0,7272ef42,44584385863221251,言 简 意 赅
4,250.33100,顶端弹幕,25,0xe70012,0,d475da71,44584258424012803,龙：芜湖！
5,100.23900,顶端弹幕,25,0x683a7b,0,43f228ca,44539702575890439,《  伏  魔  御  廚  子  》
6,143.64600,顶端弹幕,25,0xe70012,0,48c85175,44536021309194247,晒  的  呀
7,110.72400,顶端弹幕,25,0xa0ea,0,4df77322,44525401929678853,“嘎哈呀？嘎哈呀？”
8,165.63400,滚动弹幕,25,0xffffff,0,8f10f4d,46693961662201859,有点臭
9,54.73900,滚动弹幕,25,0xffffff,0,68df96ec,46677663619219459,谢谢你，老师
10,105.05500,滚动弹幕,25,0xffffff,0,dc799f52,46675743005474821,伏魔御厨子
11,66.45900,滚动弹幕,25,0xffffff,0,e9aeddb9,46670635199365127,好家伙 听啥都像猪叫
12,14.45900,滚动弹幕,25,0xffffff,0,48a570fb,46665111510188039,鞭笞鵎鵼
13,242.56500,滚动弹幕,25,0xffffff,0,655224f,46662590544216071,好棒啊
14,133.13000,滚动弹幕,25,0xffffff,0,7ed41441,46659497790799879,欢迎考北京一零一中噢就在圆明园里头
15,133.80900,滚动弹幕,25,0xffffff,0,8a7bab25,46658401942896647,徐州矿大也有
16,140.98500,滚动弹幕,25,0xffffff,0,481b135b,46655932233940995,矿大也有
17,140.48200,滚动弹幕,25,0xffffff,0,c3cb3588,46654476771655683,公开处刑
18,253.34000,滚动弹幕,25,0xffffff,0,b216328e,46631398991724551,为啥我没得
19,239.85000,滚动弹幕,25,0xffffff,0,7b57595f,46629998579154951,黑天鹅时间
20,249.83200,滚动弹幕,25,0xffffff,0,dc7387a1,46629844339392517,有没有水猴子和藏狐
21,228.25200,滚动弹幕,25,0xffffff,0,dc7387a1,46629822092279811,雷老板玉音放送
22,130.21900,滚动弹幕,25,0xffffff,0,dc7387a1,46629765559877637,我们这是西伯利亚飞过来的，冬天才有
23,70.92700,滚动弹幕,25,0xffffff,0,ee1aa642,46628670155522051,打呼噜
24,172.27000,顶端弹幕,25,0xfef102,0,47f0324,46627608791613443,你——看——我——多——快——啊——
25,55.95900,滚动弹幕,25,0xffffff,0,7d6bc267,46626533036523527,哈哈哈哈哈哈
26,217.29100,滚动弹幕,25,0xffffff,0,9ca2874e,46618536421359623,猝不及防
27,242.13900,滚动弹幕,25,0xffffff,0,e55b262b,46617237318008839,马上区
28,250.82600,滚动弹幕,25,0xffffff,0,2cb9bf1e,46616780570361863,藏狐
29,82.35700,滚动弹幕,25,0xffffff,0,e2dd6026,46616178159779843,天啊
30,172.20100,滚动弹幕,25,0xffffff,0,cdc5c89,46614802602131459,？？？？！
31,63.19600,滚动弹幕,25,0xffffff,0,cdc5c89,46614745520275459,猪
32,16.19700,滚动弹幕,25,0xffffff,0,cdc5c89,46614720994082821,？？？？
33,179.39900,滚动弹幕,25,0xffffff,0,4f429cc2,46614587693858823,应该命名为水猴子
34,121.87300,滚动弹幕,25,0xffffff,0,4f429cc2,46614557585571843,水猴子
35,213.04500,滚动弹幕,25,0xffffff,0,5f62eba5,46611849618653187,陳睿草
36,206.55400,滚动弹幕,25,0xffffff,0,bcb47fd4,46608902467354629,你这样很机车诶
37,179.14900,滚动弹幕,25,0xffffff,0,cf1d545b,46605623279222787,闪电
38,163.95900,滚动弹幕,25,0xffffff,0,c85edf8a,46604385882472451,灰犀牛，黑天鹅
39,21.64800,滚动弹幕,25,0x9843,0,183411e3,46599277590872067,这嘴重不重？
40,120.33900,滚动弹幕,25,0xffffff,0,dd92eb66,46586482425593859,哎呀我们校霸
41,59.51900,滚动弹幕,25,0xffffff,0,1a730ee8,46585583282159621,鞭笞鵎鵼
42,231.17300,滚动弹幕,25,0xffffff,0,e2860fca,46582207109660679,买上买
43,69.45900,滚动弹幕,25,0xffffff,0,4caaccf9,46578642805850119,小拉达
44,109.41900,滚动弹幕,25,0xffffff,0,3279b16b,46576888873746439,那该叫魔鬼食堂阿
45,186.73100,顶端弹幕,25,0xe70012,0,1dbf6f78,46574106562789383,好好说话怎么还卖萌呢！（doge）
46,81.54200,滚动弹幕,25,0xffffff,0,435458d7,46572870489341955,听什么都像猪叫。。
47,82.81300,滚动弹幕,25,0xffffff,0,e96fa4d3,46570114117009413,破魔虫
48,14.58500,滚动弹幕,25,0xffffff,0,b6d75143,46560120667111431,鞭笞鵎鵼
49,216.75100,滚动弹幕,25,0xffffff,0,7145ec5e,46559898240024583,哈哈哈哈哈哈哈哈哈哈
50,210.80000,滚动弹幕,25,0xffffff,0,7145ec5e,46559891245498371,猝不及防
51,53.19000,滚动弹幕,25,0xffffff,0,7145ec5e,46559785810657283,谢谢老师
52,213.61900,滚动弹幕,25,0x84c0cb,0,f2fbb5af,46539651506765831,防不胜防
53,157.13900,滚动弹幕,25,0x84c0cb,0,f2fbb5af,46539620036378627,学到了
54,218.31700,滚动弹幕,25,0xffffff,0,f07879c1,46532838812024835,猝不及防
55,50.98900,滚动弹幕,25,0xffffff,0,6ae5df1a,46527714187280387,哈哈
56,235.55800,滚动弹幕,25,0xffffff,0,6e56a143,46526759908671491,小米手环看着没戏了
57,63.59900,滚动弹幕,25,0xffffff,0,a4e7d067,46524757194047491,鞭笞tuoko
58,117.61900,滚动弹幕,25,0xffffff,0,ef0136d7,46520029710123011,先辈的声音
59,212.97900,滚动弹幕,25,0xffffff,0,e3e8a2eb,46519719020724227,？
60,178.82700,滚动弹幕,25,0xffffff,0,926a82dc,46508930399993863,挺好找的啊
61,132.16500,滚动弹幕,25,0xffffff,0,1df58afc,46500221299982343,我们这里的最好的重点高中里面也有这玩意
62,253.55900,滚动弹幕,25,0xffffff,0,bdc46a2,46491812780048389,程序猿，二刺螈：芜湖！
63,152.18200,滚动弹幕,25,0xffffff,0,48ccaeb8,46489900895174659,学习了
64,216.89900,滚动弹幕,25,0xffffff,0,90374421,46485243122679813,猝不及防
65,59.33900,滚动弹幕,25,0xffffff,0,7ddcfa41,46484365197705219,鞭笞妥空
66,221.57600,滚动弹幕,25,0xffffff,0,65b11162,46483032490115077,6
67,168.10500,滚动弹幕,25,0xffffff,0,65b11162,46482984860123139,？？？？？
68,50.93900,滚动弹幕,25,0xffffff,0,b36a3123,46474605003014149,国语信达雅的起名
69,188.79900,滚动弹幕,25,0xffffff,0,24741d76,46473237340094469,不要学台湾人讲话
70,9.61600,滚动弹幕,25,0xffffff,0,d3478ae9,46471660691259397,这不是糖豆人里面那个很好看的皮肤吗
71,177.55600,滚动弹幕,25,0xffffff,0,9e389ec9,46470979883368455,闪电呀
72,222.11100,滚动弹幕,25,0xffffff,0,c4499d0e,46470814672355331,好家伙
73,231.76400,滚动弹幕,25,0xfef102,0,35607a7a,46468203292393479,人脉
74,217.22300,滚动弹幕,25,0xfef102,0,35607a7a,46468195673964547,猝不及防
75,158.53900,滚动弹幕,25,0xfef102,0,35607a7a,46468164927619079,水猴子叫声
76,124.14600,滚动弹幕,25,0xffffff,0,35607a7a,46468146882150403,哈哈哈哈哈哈哈
77,54.65200,滚动弹幕,25,0xffffff,0,e7c2e4da,46461965874233349,改的好
78,221.75300,滚动弹幕,25,0xffffff,0,10b965f0,46454376156364803,猝不及防
79,71.09900,滚动弹幕,25,0xe70012,0,7da2268d,46452400247537667,夜里猛
80,121.03900,顶端弹幕,25,0xfef102,0,10552ee4,46449461997076487,艾玛，我们学校也养了三四只
81,11.08500,滚动弹幕,25,0xffffff,0,8f3f9fdf,46439902863687687,鞭笞鵎鵼
82,139.83500,滚动弹幕,25,0xffffff,0,ca13712f,46436928923369477,这脖子看起来好好吃
83,29.50400,滚动弹幕,25,0xffffff,0,ca13712f,46436857681543173,好大一片美甲片
84,122.73900,顶端弹幕,25,0xe70012,0,8ebdec9e,46434179418685445,常见于中国的股市。
85,190.09900,滚动弹幕,25,0xfef102,0,632a765f,46431427458236419,HOHO～
86,157.62800,滚动弹幕,25,0xffffff,0,65d95e33,46428874266902535,这么来的啊
87,60.01300,滚动弹幕,25,0xffffff,0,65d95e33,46428823035052035,言简意赅
88,110.11400,滚动弹幕,25,0xffffff,0,c256d23f,46428814483914759,自助餐厅
89,243.38300,滚动弹幕,25,0xffffff,0,7a0e292c,46413056845021187,华为手机表示羡慕
90,138.55900,滚动弹幕,25,0xffffff,0,3c1f36cb,46409733512888323,南京传媒学院湖里有
91,227.61900,滚动弹幕,25,0xffffff,0,2af03a06,46407172239130627,我用的小米我都不知道
92,244.01400,滚动弹幕,25,0xffffff,0,6bd2d8ef,46405648393961477,羡慕了qwqqqq
93,196.45900,滚动弹幕,25,0xffffff,0,6bd2d8ef,46405610891640839,是水猴子没错（？）
94,14.55700,滚动弹幕,25,0xffffff,0,a304a726,46401183717261317,鞭笞鵎鵼
95,68.07200,滚动弹幕,25,0xffffff,0,142e95b5,46396038804668421,戴欢
96,211.20800,滚动弹幕,25,0xffffff,0,2eb83588,46393475230334983,哈哈哈哈哈
97,18.09900,滚动弹幕,25,0xffffff,0,8b028485,46391704843452421,鞭笞鵎鵼
98,98.06100,滚动弹幕,25,0xffffff,0,c4a8320a,46383943517208579,原来戴欢是这么死的
99,49.93300,滚动弹幕,25,0xffffff,0,353880c6,46382319443902469,鞭笞鵎鵼
100,8.91400,顶端弹幕,25,0xe70012,0,8b90af99,46355680633815047,边吃坨空
101,89.30000,滚动弹幕,25,0xffffff,0,2f450932,46352710233489479,夜里猛
102,66.81700,滚动弹幕,25,0xffffff,0,74144169,46350842066894851,鞭笞鵎鵼
103,33.79100,滚动弹幕,25,0xffffff,0,a052a8be,46348590178631687,南南见鸟 哈哈哈
104,238.39700,顶端弹幕,25,0xe70012,0,20744213,46347801650528263,怎么没有小亮的叫声？
105,174.53500,顶端弹幕,25,0xffffff,0,53d862fb,46346006082617349,是黄00（并不是）
106,249.76400,滚动弹幕,25,0xffffff,0,9d92006b,46345040301654019,杜鹃有没得
107,233.92500,滚动弹幕,25,0xffffff,0,8bab8ac1,46343994300956677,蛮好的
108,156.99600,滚动弹幕,25,0xffffff,0,c3a74f20,46337063961755655,原来如此
109,124.45900,滚动弹幕,25,0xffffff,0,237a0f25,46317506352119877,这我老熟了，去一个动物园的时候追着我咬
110,253.73900,滚动弹幕,25,0xffffff,0,79b518b2,46308971666997251,中国龙的声音
111,251.03600,滚动弹幕,25,0xffffff,0,5e68d2c,46306774544285701,好诶
112,236.34500,滚动弹幕,25,0xffffff,0,5e68d2c,46306766938963973,这个可以
113,106.17900,滚动弹幕,25,0xffffff,0,5e68d2c,46306679199367175,哈哈哈哈
114,44.73900,滚动弹幕,25,0xffffff,0,5e68d2c,46306605864058947,哈哈哈哈
115,28.05900,滚动弹幕,25,0xffffff,0,5e68d2c,46306594051850247,不是大嘴鸟嘛
116,96.55300,滚动弹幕,25,0xffffff,0,f0d09b18,46305511611039747,你就是地狱厨房塔斯马尼亚分部吗.JPG
117,187.58700,滚动弹幕,25,0xfef102,0,152e7986,46303454751621125,还有红吼猴
118,213.56700,滚动弹幕,25,0xffffff,0,52c838fc,46300128647577605,？？？？？
119,58.52300,滚动弹幕,25,0xffffff,0,d1f8044c,46299777070006277,鞭笞鵎鵼
120,99.73900,滚动弹幕,25,0xffffff,0,be9d44b1,46295130366803973,我无人机当年掉这里了
121,117.92000,滚动弹幕,25,0xffffff,0,9a536e92,46290437531500549,我怎么听啥都像猪
122,226.23800,滚动弹幕,25,0xffffff,0,de79beea,46278081248231429,黑天鹅事件
123,233.24100,滚动弹幕,25,0xffffff,0,8304d8c5,46270511684517891,哇还挺好的
124,59.73600,滚动弹幕,25,0xffffff,0,8ce18fac,46267381771141127,猪
125,8.19500,滚动弹幕,25,0xffffff,0,8ce18fac,46267354744619013,猪
126,14.78500,滚动弹幕,25,0xffffff,0,72668baf,46265009875976199,鞭笞鵎鵼
127,155.96700,滚动弹幕,25,0xffffff,0,46cbed78,46260540330213383,我什么场面没见过？
128,71.14000,滚动弹幕,25,0xffffff,0,540af7bb,46260202990206979,猪叫
129,20.20800,滚动弹幕,25,0xffffff,0,1a62a2a8,46258496421756935,鞭笞鵎鵼
130,62.17000,滚动弹幕,25,0xffffff,0,be3f67d0,46250959724085255,鞭笞鵎鵼
131,6.08400,顶端弹幕,25,0xffffff,0,af2a524e,46248453517869059,上好佳的亲戚！
132,199.42400,滚动弹幕,25,0xffffff,0,35622a1a,46247749973704707,我还以为是驴呢
133,112.56100,滚动弹幕,25,0xffffff,0,c3774296,46246891543330821,郭老师
134,106.35500,滚动弹幕,25,0xffffff,0,4f242ec1,46238937642958855,传染性肿瘤？
135,58.39900,滚动弹幕,25,0xffffff,0,4f242ec1,46238912492339205,在动物园坚果哈哈
136,58.96500,滚动弹幕,25,0xffffff,0,b4fe60e9,46236606203428867,鞭笞脱空
137,219.56100,滚动弹幕,25,0xffffff,0,3c315fc4,46235340399706117,猝不及防
138,247.95700,滚动弹幕,25,0xffffff,0,73505b16,46224582618120199,谢谢，已经买了一箱了
139,51.88900,滚动弹幕,25,0xffffff,0,40d64d26,46224248607866883,鞭笞鵎鵼
140,15.80500,滚动弹幕,25,0xffffff,0,82c3f76c,46220547227385863,愤怒的小鸟
141,253.89200,滚动弹幕,25,0xffffff,0,fcea45fb,46218443752472583,我咋没有！！
142,18.99900,滚动弹幕,25,0xa0ea,0,4245860a,46216332816416771,愤怒的小鸟
143,11.27800,滚动弹幕,25,0xffffff,0,b222c76a,46216174134886403,我叫他大嘴鸟
144,197.06500,底端弹幕,25,0xe70012,0,410f7642,46216099460022279,yue！！！
145,188.10200,滚动弹幕,25,0xffffff,0,20d458af,46215345405427715,yue！
146,65.60800,顶端弹幕,25,0xfe0302,0,aa00c3f1,46213866037182467,塔 斯 马 尼 亚 恶 魔
147,164.05300,滚动弹幕,25,0xffffff,0,ca2799a7,46212435310280707,Hhhh
148,215.96500,滚动弹幕,25,0xffffff,0,49bd1a5d,46212381512040455,?
149,54.89900,滚动弹幕,25,0xffffff,0,d924a8b7,46211978073473029,鞭笞鵎鵼
150,191.06700,滚动弹幕,25,0xffffff,0,5ce69e71,46211033472696325,说实话小米手机有两个声音
151,115.18200,滚动弹幕,25,0xffffff,0,c7b595b6,46209840492052483,哈哈哈哈哈
152,214.91800,滚动弹幕,25,0xffffff,0,af646c86,46209471096029187,好家伙
153,168.81900,滚动弹幕,25,0xffffff,0,433185ed,46207481794265091,闪电？
154,47.49900,滚动弹幕,25,0xffffff,0,b6055b3,46205892775378951,经典北湖湖湖湖湖
155,236.23400,滚动弹幕,25,0xffffff,0,11248e43,46204425160622083,黑天鹅事件!
156,249.51100,滚动弹幕,25,0xffffff,0,2dab81bf,46203179331223555,！
157,229.25000,滚动弹幕,25,0xffffff,0,c4c03d41,46198226321145859,牛逼
158,181.89700,滚动弹幕,25,0xffffff,0,c4c03d41,46198194582323203,不对劲
159,230.84200,滚动弹幕,25,0xffffff,0,eb122c7f,46185330212077575,猝不及防
160,240.79000,滚动弹幕,25,0xffffff,0,ef0fbd33,46179198236098567,原来是你
161,249.95500,滚动弹幕,25,0xffffff,0,a9b86aa9,46179058119081991,芜湖
162,34.19500,滚动弹幕,25,0xffffff,0,a9b86aa9,46178908841705479,康熙字典
163,215.04200,滚动弹幕,25,0xffffff,0,c549495e,46178356818870277,草
164,133.38600,滚动弹幕,25,0xffffff,0,c549495e,46178313479651335,哈哈哈
165,64.08200,滚动弹幕,25,0xffffff,0,c549495e,46178274678669315,小拉达
166,143.45500,滚动弹幕,25,0xffffff,0,8537155c,46177838127644677,南开大学津南校区的朋友有没有
167,119.97500,滚动弹幕,25,0xffffff,0,8537155c,46177809645174787,我们学校也有！
168,216.37000,滚动弹幕,25,0xffffff,0,74addd1b,46177542880100357,？
169,215.71900,滚动弹幕,25,0xffffff,0,1b3f9625,46176179419873283,？
170,168.96200,滚动弹幕,25,0xffffff,0,9562fb8,46175929199230983,美尤妃
171,65.28800,滚动弹幕,25,0xffffff,0,9562fb8,46175856576430087,魔牙猫
172,11.87900,滚动弹幕,25,0xffffff,0,2dcf0a2a,46174770203983877,鞭笞鵎鵼
173,47.47900,滚动弹幕,25,0xffffff,0,31323fbf,46173614335590407,我一直喊它大嘴鸟
174,113.15800,顶端弹幕,25,0xfef102,0,42cb031f,46172925022699525,我以为是二胡前奏？
175,84.22200,滚动弹幕,25,0xffffff,0,1e249a6f,46171579668234243,嚯。这暴脾气
176,20.46400,滚动弹幕,25,0xffffff,0,69551f55,46171080342110215,答辩
177,11.99300,顶端弹幕,25,0xe2027f,0,a50dbbcb,46170569713385479,这种鸟，《里约大冒险》里有，
178,127.85800,滚动弹幕,25,0xffffff,0,9bc9df8a,46170112780664839,哈哈哈哈哈哈大宅门
179,55.13900,滚动弹幕,25,0xffffff,0,be881d9,46169474188443651,这名字好
180,159.95400,滚动弹幕,25,0xffffff,0,8ef58a10,46168722595381255,？？？？？？？？？？什么
181,109.44000,滚动弹幕,25,0xffffff,0,8ef58a10,46168684439273479,《欢天喜地猪八戒》
182,57.14000,滚动弹幕,25,0xffffff,0,8ef58a10,46168638647959559,ohhhhhh
183,35.56800,滚动弹幕,25,0xffffff,0,8ef58a10,46168626950045703,这不就是 巨嘴鸟吗
184,219.09000,滚动弹幕,25,0xffffff,0,8fdf6e5d,46168460702515207,猝不及防
185,84.13900,滚动弹幕,25,0xffffff,0,8fdf6e5d,46168383351685123,卧槽，可怕
186,186.14600,滚动弹幕,25,0xffffff,0,ccdedf84,46168180577009667,吼猴哈哈哈哈哈哈
187,113.63900,滚动弹幕,25,0xffffff,0,aafb93f9,46167982020755461,我也去过，印象最深刻的是不要门票……因为根本就没人
188,215.19200,滚动弹幕,25,0xffffff,0,f8a58b2d,46165690037567493,陈睿？？？
189,131.63000,滚动弹幕,25,0xffffff,0,f9cd035,46164199164346371,这个明明是物种入侵……
190,185.52700,滚动弹幕,25,0xffffff,0,a65bf5c,46162891558617095,恶心心
191,116.61900,滚动弹幕,25,0xffffff,0,1c38d806,46162826752425987,赫尔辛根默斯肯
192,60.34000,滚动弹幕,25,0xffffff,0,ee65ebe8,46161904854892549,我知道，这是吃饱的猪在哼哼
193,222.86000,滚动弹幕,25,0xffffff,0,ae1fa6ba,46160542566449155,黑天鹅事件
194,96.24600,顶端弹幕,25,0xe70012,0,af8ea8bc,46150597322735619,《我杀我自己》
195,111.40700,顶端弹幕,25,0xffffff,0,74216293,46148423183237123,干哈呀
196,99.77600,滚动弹幕,25,0xffffff,0,74216293,46148409105580037,戈登拉姆齐悬崖
197,219.08400,滚动弹幕,25,0xffffff,0,30067c06,46139295129403397,牛逼
198,125.35500,滚动弹幕,25,0xffffff,0,23bde71e,46137509088854023,圆明园的我看了  冬天小天鹅都冻死个球了
199,176.21600,滚动弹幕,25,0xffffff,0,f6ce5638,46133999175729155,叫叫声声叫声挺挺可可爱爱挺可爱啊啊啊
200,216.03100,滚动弹幕,25,0xffffff,0,436a5765,46130020421206023,猝不及防
201,112.60500,滚动弹幕,25,0xffffff,0,ecc1df3d,46127765640970247,干哈呀，干哈呀
202,114.59300,滚动弹幕,25,0xffffff,0,b0128b52,46126759052050435,啥都像猪叫
203,36.73900,滚动弹幕,25,0xffffff,0,ce6ba4b2,46126310964068355,啊巴啊巴
204,49.00200,滚动弹幕,25,0xffffff,0,8bf7e0f4,46121924599218183,不是犀鸟吗
205,240.74900,滚动弹幕,25,0xffffff,0,f9aa2f83,46120336678191111,我用了好久了
206,186.67500,滚动弹幕,25,0xffffff,0,c5bc308f,46119390362992645,yue
207,79.76200,滚动弹幕,25,0xffffff,0,9359f651,46117111741808643,而且这个家伙咬合力巨可怕
208,151.78100,滚动弹幕,25,0xffffff,0,fc181a28,46114972391440387,黑死完）
209,99.90300,滚动弹幕,25,0xffffff,0,cb4ffe27,46112218474348549,高登拉姆齐狂喜
210,25.51200,滚动弹幕,25,0xffffff,0,935b4582,46111548991602693,鞭笞鵎鵼
211,201.03800,滚动弹幕,25,0xffffff,0,9581e039,46110322203295747,XDD
212,20.91000,滚动弹幕,25,0xffffff,0,ce11048,46108971731255303,像花园宝宝里面的鸟
213,216.93100,滚动弹幕,25,0xffffff,0,14abd88a,46106966375792643,哈哈哈哈哈哈哈哈哈哈
214,166.55400,滚动弹幕,25,0xffffff,0,a8892efa,46106348560580613,云大有一堆黑天鹅
215,255.45400,滚动弹幕,25,0xffffff,0,be7d8840,46106144378716167,还有藏狐
216,200.43600,滚动弹幕,25,0xffffff,0,3646ce52,46102414459666437,怎么还搞台湾腔 
217,59.50700,滚动弹幕,25,0xffffff,0,3646ce52,46102339535765507,听着像猪叫 
218,163.78300,滚动弹幕,25,0xffffff,0,490774e9,46092664589254661,水猴子虽迟但到
219,11.61900,滚动弹幕,25,0xffffff,0,bcf68f83,46089498156597253,鞭笞鵎鵼
220,76.04100,滚动弹幕,25,0xffffff,0,a632eb6f,46088804750065671,帕拉迪岛的恶魔
221,107.89400,滚动弹幕,25,0xffffff,0,62ce80b5,46087816147894275,起名鬼才
222,57.39700,滚动弹幕,25,0xffffff,0,adee12fb,46087426175139845,鞭笞鵎鵼
223,127.66600,滚动弹幕,25,0xffffff,0,aff13629,46086429723328519,北京理工大学
224,194.07500,滚动弹幕,25,0xffffff,0,9c46a006,46085737171386375,吼黑猴
225,183.43000,滚动弹幕,25,0xffffff,0,c2f34372,46085693499244549,猪猪
226,115.92900,滚动弹幕,25,0xffffff,0,c2f34372,46085657960906755,猪
227,61.92900,滚动弹幕,25,0xffffff,0,c2f34372,46085629706502147,猪
228,12.92800,滚动弹幕,25,0xffffff,0,c2f34372,46085603940892677,猪
229,151.76400,顶端弹幕,25,0xfef102,0,c31085e3,46084150768173061,还有黑山羊也是一样的
230,51.85000,滚动弹幕,25,0xffffff,0,513fd8c8,46083153233182725,鵎鵼
231,230.55600,滚动弹幕,25,0xffffff,0,9d9366dd,46080557083262979,猝不及防
232,122.59400,滚动弹幕,25,0xffffff,0,f1145f26,46079927170629637,好美啊 像穿着裙子
233,5.73900,滚动弹幕,25,0xffffff,0,a895349b,46079903564562435,一听就是a q主的声音
234,55.22400,滚动弹幕,25,0xffffff,0,d8cfdadd,46071692484673541,正道的光 
235,238.67500,滚动弹幕,25,0xffffff,0,4bafa690,46069767000293381,厉害了
236,222.11600,滚动弹幕,25,0xffffff,0,e55e25c3,46068149991243783,猝不及防
237,255.88900,滚动弹幕,25,0xffffff,0,955d4c05,46065998753169411,突然想买
238,164.63500,滚动弹幕,25,0xffffff,0,955d4c05,46065949781524485,？
239,50.28900,滚动弹幕,25,0xffffff,0,955d4c05,46065889795637251,噗
240,13.25800,滚动弹幕,25,0xffffff,0,ceb8ee3c,46061893776834563,巨嘴铳鸟
241,219.42200,滚动弹幕,25,0xffffff,0,d40d0772,46061311842320387,猝不及防
242,229.83000,滚动弹幕,25,0xffffff,0,dba8c167,46060037321785415,猝不及防
243,221.42900,滚动弹幕,25,0xffffff,0,dba8c167,46060032994836485,措不及防
244,139.70200,滚动弹幕,25,0xffffff,0,11160d1b,46059696188030983,安财
245,11.74300,滚动弹幕,25,0xffffff,0,e11d8312,46058934097674243,喋喋那个是什么动物啊
246,149.73900,滚动弹幕,25,0xffffff,0,de503349,46041186538356741,草，突然想起恋与
247,236.56300,顶端弹幕,25,0xffffff,0,1e22403d,46037416851013637,系统麝雉
248,152.23900,滚动弹幕,25,0xffffff,0,a6dc508e,46035891255771141,原来如此
249,117.09900,滚动弹幕,25,0xffffff,0,528739fd,46034864743907335,我为什么听啥都是猪叫
250,233.80300,滚动弹幕,25,0xffffff,0,b930825f,46033086210113543,黑天鹅事件
251,214.60300,滚动弹幕,25,0xffffff,0,b930825f,46033076127006723,猝不及防
252,164.38600,滚动弹幕,25,0xffffff,0,b930825f,46033049785204739,来来来了
253,135.39700,滚动弹幕,25,0xffffff,0,b930825f,46033034611785731,哈哈哈哈
254,56.87900,滚动弹幕,25,0xffffff,0,b930825f,46032992882655237,谢谢老师
255,17.59900,滚动弹幕,25,0xffffff,0,b930825f,46032967245496325,专业
256,245.71900,滚动弹幕,25,0xffffff,0,b9daead4,46031845505630215,黑天鹅事件
257,182.31300,滚动弹幕,25,0x9843,0,b3d2e15f,46030302318952455,僵 尸 猪 人
258,72.45300,滚动弹幕,25,0x9843,0,b3d2e15f,46030236619374595,僵 尸 猪 人
259,58.85300,滚动弹幕,25,0x9843,0,b3d2e15f,46030224761028613,僵 尸 猪 人
260,20.15000,滚动弹幕,25,0xffffff,0,beffb873,46029686957408259,好像海贼王里的鸟啊
261,174.03500,滚动弹幕,25,0xffffff,0,cd26658d,46025908296351749,我去看过它！
262,74.22100,滚动弹幕,25,0xffffff,0,429f542a,46015658547740679,猪ll
263,230.33900,滚动弹幕,25,0xffffff,0,e552ce8e,46014188277465091,这个很棒啊。
264,126.69800,滚动弹幕,25,0xffffff,0,ca6afa4a,45996955086094339,安师大也有
265,193.20200,滚动弹幕,25,0xffffff,0,bca24b05,45994663967457285,哕
266,113.35600,滚动弹幕,25,0xffffff,0,c5e698bc,45994092403359747,我怎么每种听起来都像猪
267,78.01100,滚动弹幕,25,0xffffff,0,27c68b5b,45992814268907527,这不都是猪叫？
268,255.37000,滚动弹幕,25,0xffffff,0,2ef53b5d,45992415060295687,这就更新
269,253.57000,滚动弹幕,25,0xffffff,0,2ef53b5d,45992412354969603,不错
270,55.75900,滚动弹幕,25,0xffffff,0,922a2061,45991254324412485,虚 空 遁 地 兽
271,5.06600,滚动弹幕,25,0xffffff,0,847919a1,45986690786918469,水猴子
272,115.83100,滚动弹幕,25,0xffffff,0,1b4a1d49,45985778600247303,郑大也有
273,70.89900,滚动弹幕,25,0xe70012,0,8998813f,45985280463732741,搞窝里斗（夜里打架）
274,218.31900,滚动弹幕,25,0xffffff,0,ab0222e0,45985174340501507,黑天鹅事件
275,213.88600,滚动弹幕,25,0xffffff,0,ed781924,45973182848434183,陈睿？？
276,124.65900,滚动弹幕,25,0xffffff,0,68c47235,45971871030575107,我们学校也有，今年还下崽了
277,23.49900,滚动弹幕,25,0xffffff,0,1000d005,45957948126527491,海贼王，南南见鸟
278,112.58700,滚动弹幕,25,0xffffff,0,e60410a7,45954814241144837,一个学猪叫的人
279,213.34500,滚动弹幕,25,0xffffff,0,1c3da19b,45954703188033539,哈哈哈哈哈哈哈哈
280,131.74700,滚动弹幕,25,0xffffff,0,1c3da19b,45954660361043975,哈哈哈哈哈哈哈
